,precision,recall,f1,accuracy,specificity,fpr,fnr,tp,fp,fn,tn
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mean,0.9905036566553699,0.9902224923966041,0.9903490073649998,0.9827680969236784,0.8173246929783161,0.10267530701102695,0.00977750760322919,59657.71,550.59,578.72,4748.98
std,0.00773580769280442,0.007277969780324061,0.006531942285418032,0.011161972195601123,0.26080641243604735,0.1013436698766287,0.0072779697803204285,3629.685258623214,418.32175753632856,422.77675365888246,3104.5440075066504
min,0.9542582249580184,0.9713496600064728,0.974033535012764,0.9566497802732916,0.0,0.0,0.0,46814.0,0.0,0.0,0.0
25%,0.9868521597179727,0.985386405807783,0.9860721161435537,0.9758720397947729,0.8631189272255191,0.06706070181004053,0.004757402260309575,57801.5,245.0,251.5,2978.5
50%,0.9922564787582526,0.9925728565444506,0.9914876771089867,0.9846649169920373,0.8978937427937335,0.08842091033719945,0.0074271434553858495,59638.5,471.0,454.5,4532.0
75%,0.9960841143459406,0.9952425977395216,0.9949759459519255,0.9906616210935989,0.9258698475441399,0.12198886260196692,0.014613594192049424,61907.25,768.25,872.75,6033.25
max,0.9999999999998476,0.9999999999998476,0.9999999949998476,0.9999999999998476,0.9504716981076036,0.9999999992307692,0.0286503399933524,65536.0,2244.0,1639.0,16226.0
