precision,recall,f1,accuracy,specificity,fpr,fnr,tp,fp,fn,tn,name
0.9953334723133798,0.9941218867620736,0.9947273056077244,0.989959716796724,0.9061593034475777,0.09384069654919755,0.005878113237766337,62068,291,367,2810,2009_img001_p0009
0.996261445363084,0.9944812536566052,0.995370548555024,0.9910736083982863,0.8972572921162506,0.10274270787939599,0.005518746343236687,62890,236,349,2061,2009_img001_p0011
0.9896496270442432,0.9842779602183077,0.9869564796487857,0.9766693115232885,0.910569105689711,0.08943089430881089,0.01572203978152223,57847,605,924,6160,2009_img001_p0021
0.990538962122311,0.9891195681150046,0.9898287512734941,0.9813842773436003,0.8972826086940267,0.10271739130416174,0.010880431884828899,59363,567,653,4953,2009_img001_p0025
0.9758229005484288,0.9856670929239512,0.9807202890552295,0.9667053222654776,0.8510615251290607,0.14893847486985598,0.014332907075871282,55497,1375,807,7857,2009_img002_p0003
0.9999999999998475,0.999984741210785,0.9999923655471081,0.999984741210785,0.0,0.0,1.5258789062497672e-05,65535,0,1,0,2009_img002_p0020
0.9999999999998475,0.9999999999998475,0.9999999949998475,0.9999999999998475,0.0,0.0,0.0,65536,0,0,0,2009_img002_p0032
0.9999999999998475,0.9999999999998475,0.9999999949998475,0.9999999999998475,0.0,0.0,0.0,65536,0,0,0,2009_img002_p0038
0.9882541930801673,0.9825347758885484,0.9853861803378331,0.974105834960789,0.9069258143978827,0.0930741856007486,0.017465224111279844,57213,680,1017,6626,2009_img003_p0001
0.9907727796999498,0.9860258521733151,0.9883936114889331,0.9787597656248507,0.8982488479246116,0.10175115207354517,0.013974147826518611,59271,552,840,4873,2009_img003_p0003
0.9941194010069915,0.9881611012314779,0.9911312914490972,0.983612060546725,0.926103247291994,0.07389675270592444,0.0118388987683574,60013,355,719,4449,2009_img003_p0005
0.9931078536846099,0.9867054147040474,0.9898962768986482,0.9815979003904752,0.9275874249365461,0.07241257506168772,0.013294585295785602,59078,410,796,5252,2009_img004_p0012
0.9810341136167248,0.9828051548785489,0.9819188306621351,0.9691009521482896,0.8891438106154039,0.11085618938355317,0.01719484512127242,54985,1063,962,8526,2009_img004_p0015
0.988262992675098,0.9840583485280917,0.9861561838186461,0.9757232666014136,0.9153565589222546,0.08464344107648768,0.015941651471734663,56667,673,918,7278,2009_img004_p0017
0.9928504656716767,0.9813325576618676,0.987057907399966,0.977050781249851,0.9417653694290161,0.058234630569573835,0.018667442337961353,57353,413,1091,6679,2009_img004_p0019
0.9957752358685822,0.983393525618664,0.9895456456588215,0.9807739257811003,0.9483357157423967,0.05166428425556124,0.016606474381171094,59632,253,1007,4644,2009_img005_p0003
0.9994633794825446,0.999708620240005,0.9995859798192902,0.9991760253904726,0.8936170212494341,0.10638297872017073,0.0002913797598416901,65188,35,19,294,2009_img005_p0005
0.9986833443053076,0.9980263157893174,0.9983547169478534,0.9967956542967229,0.9504716981076035,0.049528301886500425,0.0019736842105260066,63714,84,126,1612,2009_img005_p0006
0.9868306559569969,0.9786100693636158,0.9827031660852249,0.9683227539061023,0.8507773985573553,0.14922260144074853,0.021389930636218284,58973,787,1289,4487,2009_img005_p0009
0.9999999999998467,0.9947357177732857,0.9973609074357219,0.9947357177732857,0.0,0.0,0.005264282226561697,65191,0,345,0,2009_img005_p0016
0.986859327638298,0.97975549286125,0.9832945749619727,0.9702911376951645,0.8917883988074149,0.1082116011911669,0.02024450713857908,57301,763,1184,6288,2009_img005_p0018
0.9999999999998467,0.9947814941404732,0.9973839160585523,0.9947814941404732,0.0,0.0,0.005218505859374204,65194,0,342,0,2009_img005_p0025
0.999801635742035,0.9999999999998475,0.9999008030328709,0.999801635742035,0.0,0.9999999992307692,0.0,65523,13,0,0,2009_img005_p0032
0.9753269279489827,0.995029326970674,0.9850796162825138,0.976867675781101,0.9169345843442576,0.08306541565508624,0.004970673029127156,50045,1266,250,13975,2009_img007_p0005
0.9788561198528261,0.9934209268076208,0.9860847394757482,0.9776306152342259,0.9153143633474863,0.08468563665175885,0.0065790731921880055,51943,1122,344,12127,2009_img007_p0007
0.9805156901026589,0.9976856592796876,0.9890261555775969,0.9835052490232875,0.942070616396803,0.057929383602598486,0.002314340720107665,48713,968,113,15742,2009_img008_p0005
0.9883779234266344,0.9946835351785982,0.9915206992125736,0.9855957031248497,0.9354100318462027,0.06458996815280195,0.005316464821221649,55193,649,295,9399,2009_img008_p0008
0.9542582249580183,0.9946458165127705,0.974033535012764,0.9619140624998532,0.8785056848939478,0.12149431510551083,0.005354183487017093,46814,2244,252,16226,2009_img008_p0012
0.9967368119447014,0.9942520522712343,0.9954928766144632,0.9913482666014113,0.9198279233440758,0.08017207665201341,0.0057479477286070365,62617,205,362,2352,2009_img009_p0000
0.9855251743082311,0.9943108143151915,0.9898984959116555,0.9808959960936003,0.7653645833313402,0.23463541666605564,0.005689185684646381,61345,901,351,2939,2009_img009_p0002
0.9942315615985177,0.9931675996047098,0.9936992908034864,0.9883270263670367,0.9270225187637051,0.0729774812342098,0.0068324003951256455,60325,350,415,4446,2009_img009_p0009
0.9915500304266728,0.9856036777157745,0.9885679071487424,0.9798736572264131,0.9366692728682087,0.06333072713048823,0.014396322284052679,57029,486,833,7188,2010_img001_p0007
0.9923763772125055,0.9873411145359008,0.9898523374681111,0.9821624755857877,0.9437740693184291,0.05622593068028726,0.012658885463926045,57015,438,731,7352,2010_img001_p0009
0.9974549850478786,0.9973439363815512,0.9973994526237252,0.9950103759764107,0.9398722284819998,0.06012777151424229,0.002656063618289836,62708,160,167,2501,2010_img002_p0002
